Model,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time
Logistic Regression,0.9289914066033469,0.9241706161137441,0.950446791226645,0.9371245494593512,0.9808020689998175,0.2883176803588867
Random Forest,0.9755766621438263,0.9734513274336283,0.9829406986190089,0.9781729991915926,0.9976068900346492,4.045469522476196
XGBoost,0.973767526006332,0.9688249400479616,0.9845653939886271,0.9766317485898469,0.997463485800494,0.9923717975616455
LightGBM,0.9678878335594754,0.9662379421221865,0.9764419171405362,0.9713131313131314,0.9966801505329995,5.278717517852783
